date,timestamp,station,value
2025-05-22,2025-05-22 00:47:02,SPO-EE0018A_00010_100,
2025-05-22,2025-05-22 00:47:02,SPO-DK0045A_00010_100,
2025-05-22,2025-05-22 02:27:02,GB_SamplingPoint_205,
2025-05-22,2025-05-22 02:27:02,GB_SamplingPoint_112,
2025-05-22,2025-05-22 02:27:02,SPO-LU0101A_00010_100,
2025-05-22,2025-05-22 02:27:02,GB_SamplingPoint_107,
2025-05-22,2025-05-22 02:27:02,SPO-DK0045A_00010_100,
2025-05-22,2025-05-22 02:27:02,GB_SamplingPoint_61573,
2025-05-22,2025-05-22 02:27:02,SPO-EE0018A_00010_100,
2025-05-22,2025-05-22 02:27:02,GB_SamplingPoint_127,
2025-05-22,2025-05-22 02:32:02,SPO-LU0101A_00010_100,
2025-05-22,2025-05-22 02:32:02,GB_SamplingPoint_107,
2025-05-22,2025-05-22 04:07:02,GB_SamplingPoint_112,
2025-05-22,2025-05-22 04:07:02,GB_SamplingPoint_61573,
2025-05-22,2025-05-22 10:32:02,SPO-GR0031A_00010_131,
2025-05-22,2025-05-22 13:54:09,SPO-PT03083_00010_100,0.0303824171423912
2025-05-22,2025-05-22 13:54:09,SP_28079035_6_48,0.0299545936286449
2025-05-22,2025-05-22 13:54:09,SP_08019054_6_48,0.0303943119943141
2025-05-22,2025-05-22 13:54:09,SP_28092005_6_48,0.0287640951573848
2025-05-22,2025-05-22 13:54:09,SPO-PT03071_00010_100,0.0306531898677349
2025-05-22,2025-05-22 13:54:09,SP_30016020_6_48,0.030968677252531
2025-05-22,2025-05-22 13:54:09,SP_15030027_6_48,0.029738200828433
2025-05-22,2025-05-22 13:54:09,SPO-PT03082_00010_100,
2025-05-22,2025-05-22 13:59:09,GB_SamplingPoint_112,0.0314147137105464
2025-05-22,2025-05-22 13:59:09,GB_SamplingPoint_61573,0.0317171365022659
2025-05-22,2025-05-22 13:59:09,GB_SamplingPoint_107,0.029739735648036
2025-05-23,2025-05-23 00:29:09,SPO-EE0018A_00010_100,
2025-05-23,2025-05-23 02:09:09,GB_SamplingPoint_61573,
2025-05-23,2025-05-23 02:09:09,SPO-LU0101A_00010_100,
2025-05-23,2025-05-23 02:09:09,GB_SamplingPoint_112,
2025-05-23,2025-05-23 02:09:09,SPO-DK0045A_00010_100,
2025-05-23,2025-05-23 02:09:09,SPO-EE0018A_00010_100,
2025-05-23,2025-05-23 02:09:09,GB_SamplingPoint_127,
2025-05-23,2025-05-23 02:09:09,GB_SamplingPoint_107,
2025-05-23,2025-05-23 02:09:09,GB_SamplingPoint_205,
2025-05-23,2025-05-23 03:49:09,GB_SamplingPoint_127,
2025-05-23,2025-05-23 03:49:09,GB_SamplingPoint_61573,
2025-05-23,2025-05-23 03:49:09,GB_SamplingPoint_112,
2025-05-23,2025-05-23 03:49:09,GB_SamplingPoint_107,
2025-05-23,2025-05-23 10:19:09,SPO-EE0018A_00010_100,0.0343464389443397
2025-05-23,2025-05-23 11:54:09,SP_08019057_6_48,0.0313028506934642
2025-05-23,2025-05-23 11:54:09,SP_08019054_6_48,0.0313028506934642
2025-05-23,2025-05-23 11:54:09,SP_08169009_6_48,0.034120038151741
2025-05-23,2025-05-23 11:54:09,SPO-GR0022A_00010_101,0.0296489745378494
2025-05-23,2025-05-23 11:54:09,SPO-FR03043_10,0.0341878570616245
2025-05-23,2025-05-23 11:54:09,SPO-GR0031A_00010_131,0.0319909341633319
2025-05-23,2025-05-23 11:59:09,GB_SamplingPoint_205,0.0304017569869756
2025-05-23,2025-05-23 11:59:09,SP_08019054_6_48,0.0313028879463672
2025-05-23,2025-05-23 11:59:09,SPO-FR03043_10,0.0341878533363342
2025-05-23,2025-05-23 11:59:09,GB_SamplingPoint_127,0.0321624800562858
2025-05-23,2025-05-23 11:59:09,GB_SamplingPoint_61573,0.0334431454539299
2025-05-23,2025-05-23 11:59:09,SP_08019057_6_48,0.0313028879463672
2025-05-23,2025-05-23 11:59:09,SPO-DK0045A_00010_100,
2025-05-23,2025-05-23 11:59:09,GB_SamplingPoint_112,
2025-05-23,2025-05-23 11:59:09,SPO-CH0005A_00010_502,0.0324434600770473
2025-05-23,2025-05-23 11:59:09,SPO-CH0010A_00010_500,0.0302334651350975
2025-05-23,2025-05-23 11:59:09,SP_08169009_6_48,0.0341200344264507
2025-05-23,2025-05-23 11:59:09,SPO-LU0101A_00010_100,
2025-05-23,2025-05-23 11:59:09,SPO-FR04055_10,0.030884338542819
2025-05-23,2025-05-23 11:59:09,SPO-EE0018A_00010_100,
2025-05-23,2025-05-23 13:34:09,SP_08089005_6_48,0.0322272889316082
2025-05-23,2025-05-23 13:34:09,SP_08019054_6_48,0.0303775817155838
2025-05-23,2025-05-23 13:34:09,SP_28079035_6_48,0.0290207844227552
2025-05-23,2025-05-23 13:34:09,SP_08169009_6_48,0.0322272889316082
2025-05-23,2025-05-23 13:34:09,SP_28092005_6_48,0.0277842357754707
2025-05-23,2025-05-23 13:34:09,SP_08301004_6_48,0.0322272889316082
2025-05-23,2025-05-23 13:34:09,SP_30016020_6_48,
2025-05-23,2025-05-23 13:34:09,SPO-PT03083_00010_100,
2025-05-23,2025-05-23 13:34:09,SPO-PT03082_00010_100,
2025-05-23,2025-05-23 13:34:09,SPO-PT03071_00010_100,0.0255095493048429
2025-05-23,2025-05-23 13:34:09,SP_08019057_6_48,0.0334205739200115
2025-05-23,2025-05-23 13:39:09,GB_SamplingPoint_112,
2025-05-23,2025-05-23 13:39:09,GB_SamplingPoint_205,0.034946821630001
2025-05-23,2025-05-23 13:39:09,SP_08301004_6_48,0.0334205739200115
2025-05-23,2025-05-23 13:39:09,SP_08169009_6_48,0.0334205739200115
2025-05-23,2025-05-23 13:39:09,GB_SamplingPoint_107,0.0321966297924518
